Canton,ID,NOGA,Size,Establishment,Nr,Companies,Employees,Households,Houseprices,Population,Graduates,Employment,Owners
Zürich,35,35 Energieversorgung,2,10-49 Employees,1,-0.357142857142857,-0.200918484500574,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,35,35 Energieversorgung,3,50-249 Employees,1,0.142857142857143,0.367323290845886,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,36,36 Wasserversorgung,1,1-9 Employees,1,-0.0377358490566038,0.12,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,37,37 Abwasserentsorgung,1,1-9 Employees,1,0.0563380281690141,0.00896860986547085,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,37,37 Abwasserentsorgung,2,10-49 Employees,1,0.0833333333333333,-0.180981595092025,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,38,"38 Sammlung, Behandlung und Beseitigung von Abfällen, Rückgewinnung",1,1-9 Employees,1,0.0410958904109589,-0.108,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,38,"38 Sammlung, Behandlung und Beseitigung von Abfällen, Rückgewinnung",2,10-49 Employees,1,0.36,0.211394302848576,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,39,39 Beseitigung von Umweltverschmutzungen und sonstige Entsorgung,1,1-9 Employees,1,0.25,0.555555555555556,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,41,41 Hochbau,1,1-9 Employees,1,0.0962025316455696,0.0758032128514056,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,41,41 Hochbau,2,10-49 Employees,1,-0.0465116279069768,-0.0711195240670633,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,41,41 Hochbau,3,50-249 Employees,1,0,0.0622689239151586,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,41,41 Hochbau,4,250+ Employees,1,0,-0.156870229007634,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,42,42 Tiefbau,1,1-9 Employees,1,-0.217391304347826,-0.12396694214876,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,42,42 Tiefbau,2,10-49 Employees,1,0.352941176470588,0.195984703632887,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,42,42 Tiefbau,3,50-249 Employees,1,-0.0909090909090909,-0.211019929660023,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,43,"43 Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe",1,1-9 Employees,1,0.00609260763606824,0.0145323853426049,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,43,"43 Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe",2,10-49 Employees,1,0.0144578313253012,0.0572390572390572,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,43,"43 Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe",3,50-249 Employees,1,0.212765957446809,0.104952443424073,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,45,"45 Handel mit Motorfahrzeugen, Instandhaltung und Reparatur von Motorfahrzeugen",1,1-9 Employees,1,0.00875364735306378,-0.00245700245700246,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,45,"45 Handel mit Motorfahrzeugen, Instandhaltung und Reparatur von Motorfahrzeugen",2,10-49 Employees,1,-0.0274914089347079,-0.0141732283464567,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,45,"45 Handel mit Motorfahrzeugen, Instandhaltung und Reparatur von Motorfahrzeugen",3,50-249 Employees,1,-0.0263157894736842,-0.155216284987277,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,46,46 Grosshandel (ohne Handel mit Motorfahrzeugen),1,1-9 Employees,1,-0.0489257054103029,-0.0497347480106101,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,46,46 Grosshandel (ohne Handel mit Motorfahrzeugen),2,10-49 Employees,1,-0.0542540073982737,-0.0548269686290369,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,46,46 Grosshandel (ohne Handel mit Motorfahrzeugen),3,50-249 Employees,1,-0.141975308641975,-0.0844209941682866,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,47,47 Detailhandel (ohne Handel mit Motorfahrzeugen),1,1-9 Employees,1,-0.035045742434905,-0.015158371040724,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,47,47 Detailhandel (ohne Handel mit Motorfahrzeugen),2,10-49 Employees,1,0.0386879730866274,0.0491842610364683,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,47,47 Detailhandel (ohne Handel mit Motorfahrzeugen),3,50-249 Employees,1,-0.0202020202020202,0.0048209981251674,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,47,47 Detailhandel (ohne Handel mit Motorfahrzeugen),4,250+ Employees,1,-1,-0.147697368421053,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,49,49 Landverkehr und Transport in Rohrfernleitungen,1,1-9 Employees,1,0.0784586815227484,0.0440286186020914,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,49,49 Landverkehr und Transport in Rohrfernleitungen,2,10-49 Employees,1,-0.0892857142857143,-0.0908502373759171,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,49,49 Landverkehr und Transport in Rohrfernleitungen,3,50-249 Employees,1,-0.0535714285714286,-0.0326555760936537,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,49,49 Landverkehr und Transport in Rohrfernleitungen,4,250+ Employees,1,0.25,0.378812199036918,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,50,50 Schifffahrt,1,1-9 Employees,1,0.2,0.117647058823529,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,51,51 Luftfahrt,1,1-9 Employees,1,-0.138888888888889,-0.277027027027027,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,51,51 Luftfahrt,2,10-49 Employees,1,-0.210526315789474,-0.193069306930693,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,51,51 Luftfahrt,3,50-249 Employees,1,0,-0.0408653846153846,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,51,51 Luftfahrt,4,250+ Employees,1,0.75,0.293476409470278,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,52,52 Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,1,1-9 Employees,1,0.0326530612244898,-0.0377358490566038,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,52,52 Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,2,10-49 Employees,1,0.0240963855421687,-0.0117924528301887,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,52,52 Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,3,50-249 Employees,1,-0.107142857142857,-0.189074440984999,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,52,52 Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,4,250+ Employees,1,0.125,-0.016280947255113,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,53,"53 Post-, Kurier- und Expressdienste",1,1-9 Employees,1,-0.125628140703518,-0.165779467680608,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
